"id","text","video_id","category"
"UgxdfWGURd4IolMmXcR4AaABAg","Спасибо за урок. Но не покидало ощущение, что с метриками precision и recall есть некоторое недопонимание у ведущей. Если мы даём кредит под низкий процент, то для нас важнее метрика precision, т. е. когда мы можем доверять модели, что выдай ему кредит и он нам его вернёт. Если же мы микрофинансовая организация и выдаем кредиты под высокий процент, то для нас важнее recall, т. е. обнаружить максимальное кол-во клиентов, кому мы в принципе можем выдать кредит, пусть и не с такой высокой точностью, невозврат кредитов в таком случае мы компенсируем высокими процентными ставками.","1","DS"
"UgxfZcRNAFhS_iPG8hV4AaABAg","Спасибо, очень интересно!","1","DS"
"UgzLSq4K9JgkD9JP8bV4AaABAg","Все linear models включительно logistic regression нуждаются в нормализации данныx (например MinMaxScaler или стандартизации StandardScaler), чтобы избежать проблемы исчезающего градиента на этапе обучения.","1","DS"
"UgxFWXrSg2UJxRsj3iJ4AaABAg","Анастасия, вы очень красивая девушка, которая умеет просто и понятно донести материал) Пожелание - я бы с радостью посмотрел более подробное видео с бОльшим количеством метрик, даже если бы оно растянулось на час-полтора.","1","DS"
"UgxdDWXsfavNcXQAevl4AaABAg","SCH - школа, GRD - магистратура || аспирантура, UGR - бакалавриат, PGR - выпускни(к/ца) аспирантуры(аля начинающий препод), ACD - солидный препод-академик","1","DS"
"UgyPwPY5oI44J24qsiN4AaABAg","хотел скачать test.csv но там его нет. прошу помочь","1","DS"
"UgxOdP55f0WEP-OoQrd4AaABAg","Отличное видео, спасибо. А можно по юрлицам все то же самое? )","1","DS"
"UgyhG-0pRqyRGIbHE_54AaABAg","Крутое полезное видео! Хотим еще видосов о построении моделей с подготовкой данных! Спасибо!","1","DS"
"Ugzr-QCKVIaE0BkL4kZ4AaABAg","Тяжело ли было вникать в банкиг имея технический бэкграунд?","1","DS"
"UgwgeEhu51VoJ9bnvWF4AaABAg","Как на питон выявить оценку кредитоспособности клиента. Например вводим данные клиента: Возраст Пол Местожительство Семейное обстоятельства И т.д Затем в предикте должен выводить что клиент с точностью 78% вернет кредит, 22% не вернет. Как выявить вот это? 👆","1","DS"
"UgzE0eFYNXdPhb4gqDF4AaABAg","❤kz","1","DS"
"UgyfMIk4HB-QlsEpaER4AaABAg","Добрый вечер, Анастасия, как Вам идея сделать серию разборов задач по основным задачам МО ?","1","DS"
"UgxlevAdxAyQoxo6b1p4AaABAg","Анастасия, на видео вы говорите, что в данном случае мы ориентируемся на метрику реколл, но например решение, выдавать клиенту кредит или нет, ситуация невозврата более неприятна, чем невыдача, как я понял вы гоорили именно об этом, то и согласно формуле надо пользоваться метрикой Пресижн","1","DS"
"UgyhE33aU4AXQz47dGJ4AaABAg","просто супер разбор и супер канал! давай еще)))) нужно больше разобранных прикладных задач)","1","DS"
"UgwuLPGHctbo9KF_E1t4AaABAg","Мне кажется, что с метриками объяснения перепутаны","1","DS"
