"","...1","id","text","video_id","label"
"1",1,"UgxC215X-6cJ8_a1Yy54AaABAg","А есть возможность скачать ноутбук?",1,FALSE
"2",2,"UgwJkeVpQZZZxvnj_uB4AaABAg","Спасибо большое за видео, все по полочкам ??",2,FALSE
"3",3,"UgxorcsjmRoUIUWOUZR4AaABAg","а где анонс набора на курс?",2,FALSE
"4",4,"UgzpL-Gta-HuzUamzaN4AaABAg","Познавательно  :)",4,FALSE
"5",5,"Ugw8xeiFmti1ixr71Tx4AaABAg","У меня всего один вопрос: где мне найти такую девушку?",5,TRUE
"6",6,"UgzOZbhxVnX5IUiXtzd4AaABAg","Очень часто одно из требований у работодателей - это бакалавр в комп науках. Не видела вакансий без бакалавра",6,FALSE
"7",7,"Ugz3plsDT7I1viNbxxZ4AaABAg","Добрый день,Александр на связи.Большое спасибо за информативное видео.Мне бы хотелось побольше узнать о подразделениях в IT творческих.Либо,где совсем нет математики,либо ее самый минимум.Очень интересна игровая сфера,сфера фото,видео,артов и все в таком духе.Прошу прощения,не знаю как все называется по научному.Хотелось бы увидеть своего рода древо творческих направлений в IT.Спасибо за труд.Подписался.",1,FALSE
"8",8,"UgyUVvCWerTds4Mr2Kd4AaABAg","добрый день. про аналитику сказали, что требуется много, а какой доход? ??",1,FALSE
"9",9,"Ugw4EyGhPDEyJhNvv-l4AaABAg","Кайф!",2,FALSE
"10",10,"UgxTuMRpB_wktDXdWJR4AaABAg","Замечательное видео) Творческих успехов Вам!",3,FALSE
"11",11,"Ugz412kN0V7o4atHm9d4AaABAg","очень классный и необычный формат, хочу ещё!",5,FALSE
"12",12,"UgwYfuO2B6YSoj_We3d4AaABAg","Даш что за красивый термина на маке ты юзаешь? Это стандартный, или како-то другой?",5,FALSE
"13",13,"UgyOlRe17G9oFLkBk3d4AaABAg","я так скучала, спасибо за это видео и живое ощущение. ты лучшая. смотря на тебя, хочется жить",5,FALSE
"14",14,"UgxcNc5c74mBNd5wPox4AaABAg","очень крутой формат видео, мне нравятся все эти нововведения!! И разные ракурсы тоже оно! Продолжай, очень интересно за тобой наблюдать!!",5,FALSE
"15",15,"UgxliVIqLiMf3wFgoH94AaABAg","Даша, классные видео! Но твои видео поддерживают прокрастинацию у других людей вроде меня) В моменты когда ты закрываешь пол минуты программы на своем компе и рассказываешь про Cmd+Q, я не понимаю почему я на твоем канале и продолжаю смотреть) Тем не менее спасибо за то, что ты снимаешь. З.Ы. Футболка забавная",5,FALSE
"16",16,"UgzmnT9Nn0RmCKbV1sB4AaABAg","Тон немножко не твой, кожа прям выбеленная 

(Вычленила она из оч крутого видео одну пустяковую фигню ??)",5,FALSE
"17",17,"UgyfI0L3Dn4-tN19CaN4AaABAg","Да, очень нравится такой формат. Как будто вместе с тобой провела спокойный вечер",5,FALSE
"18",18,"UgwlgnLPVE-y3MUDbQd4AaABAg","Люблю твои видео, формат классный",5,FALSE
"19",19,"UgzPOfoX3AKVsbx84JN4AaABAg","Тоже была счастлива за истории на двух языках
Теперь я не только в теме того, что происходит, но ещё и новые слова запоминаю
Спасибо тебе за это!",5,FALSE
